     t [s]      T [K]   vol [m3]       u [J/kg]
 1.035e+00   1039.982      2.970   2.870653e+05
 1.040e+00   1044.083      2.970   2.870653e+05
 1.045e+00   1049.388      2.970   2.870653e+05
 1.050e+00   1056.675      2.970   2.870653e+05
 1.055e+00   1067.720      2.970   2.870653e+05
 1.060e+00   1087.991      2.970   2.870653e+05
 1.065e+00   1155.231      2.970   2.870653e+05
 1.070e+00   2768.317      2.970   2.870653e+05
 1.075e+00   2768.160      2.970   2.870653e+05
 1.080e+00   2768.160      2.970   2.870653e+05
 1.085e+00   2768.160      2.970   2.870653e+05
 1.090e+00   2768.160      2.970   2.870653e+05
 1.095e+00   2768.160      2.970   2.870653e+05
 1.100e+00   2768.160      2.970   2.870653e+05
 1.105e+00   2768.160      2.970   2.870653e+05
 1.110e+00   2768.160      2.970   2.870653e+05
 1.115e+00   2768.160      2.970   2.870653e+05
 1.120e+00   2768.160      2.970   2.870653e+05
 1.125e+00   2768.160      2.970   2.870653e+05
 1.130e+00   2768.160      2.970   2.870653e+05
 1.135e+00   2768.160      2.970   2.870653e+05
 1.140e+00   2768.160      2.970   2.870653e+05
 1.145e+00   2768.160      2.970   2.870653e+05
 1.150e+00   2768.160      2.970   2.870653e+05
 1.155e+00   2768.160      2.970   2.870653e+05
 1.160e+00   2768.160      2.970   2.870653e+05
 1.165e+00   2768.160      2.970   2.870653e+05
 1.170e+00   2768.160      2.970   2.870653e+05
 1.175e+00   2768.160      2.970   2.870653e+05
 1.180e+00   2768.160      2.970   2.870653e+05
 1.185e+00   2768.160      2.970   2.870653e+05
 1.190e+00   2768.160      2.970   2.870653e+05
 1.195e+00   2768.160      2.970   2.870653e+05
 1.200e+00   2768.160      2.970   2.870653e+05
 1.205e+00   2768.160      2.970   2.870653e+05
 1.210e+00   2768.160      2.970   2.870653e+05
 1.215e+00   2768.160      2.970   2.870653e+05
 1.220e+00   2768.160      2.970   2.870653e+05
 1.225e+00   2768.160      2.970   2.870653e+05
 1.230e+00   2768.160      2.970   2.870653e+05
 1.235e+00   2768.160      2.970   2.870653e+05
 1.240e+00   2768.160      2.970   2.870653e+05
 1.245e+00   2768.160      2.970   2.870653e+05
 1.250e+00   2768.160      2.970   2.870653e+05
 1.255e+00   2768.160      2.970   2.870653e+05
 1.260e+00   2768.160      2.970   2.870653e+05
 1.265e+00   2768.160      2.970   2.870653e+05
 1.270e+00   2768.160      2.970   2.870653e+05
 1.275e+00   2768.160      2.970   2.870653e+05
 1.280e+00   2768.160      2.970   2.870653e+05
 1.285e+00   2768.160      2.970   2.870653e+05
 1.290e+00   2768.160      2.970   2.870653e+05
 1.295e+00   2768.160      2.970   2.870653e+05
 1.300e+00   2768.160      2.970   2.870653e+05
 1.305e+00   2768.160      2.970   2.870653e+05
 1.310e+00   2768.160      2.970   2.870653e+05
 1.315e+00   2768.160      2.970   2.870653e+05
 1.320e+00   2768.160      2.970   2.870653e+05
 1.325e+00   2768.160      2.970   2.870653e+05
 1.330e+00   2768.160      2.970   2.870653e+05
 1.335e+00   2768.160      2.970   2.870653e+05
 1.340e+00   2768.160      2.970   2.870653e+05
 1.345e+00   2768.160      2.970   2.870653e+05
 1.350e+00   2768.160      2.970   2.870653e+05
 1.355e+00   2768.160      2.970   2.870653e+05
 1.360e+00   2768.160      2.970   2.870653e+05
 1.365e+00   2768.160      2.970   2.870653e+05
 1.370e+00   2768.160      2.970   2.870653e+05
 1.375e+00   2768.160      2.970   2.870653e+05
 1.380e+00   2768.160      2.970   2.870653e+05
 1.385e+00   2768.160      2.970   2.870653e+05
 1.390e+00   2768.160      2.970   2.870653e+05
 1.395e+00   2768.160      2.970   2.870653e+05
 1.400e+00   2768.160      2.970   2.870653e+05
